,Labels,Predictions,Date
127,0.0,0.4644213020801544,2022-01-12
128,0.0,0.44756773114204407,2022-01-11
129,0.0,0.46457481384277344,2022-01-10
130,0.0,0.44470447301864624,2022-01-07
131,0.0,0.47392258048057556,2022-01-06
132,1.0,0.45921212434768677,2022-01-05
133,0.0,0.5252712965011597,2022-01-04
134,0.0,0.5081081390380859,2022-01-03
135,1.0,0.5428149104118347,2022-07-18
136,1.0,0.5345163941383362,2022-07-15
137,1.0,0.5193739533424377,2022-07-14
138,1.0,0.486544668674469,2022-07-13
139,1.0,0.5343937277793884,2022-07-12
140,0.0,0.4926331341266632,2022-07-11
141,0.0,0.5308074355125427,2022-07-08
142,0.0,0.4967447519302368,2022-07-07
143,0.0,0.53013014793396,2022-07-06
144,1.0,0.5389647483825684,2022-07-05
145,1.0,0.557585597038269,2022-07-01
146,1.0,0.5334150791168213,2022-06-30
147,1.0,0.5203115344047546,2022-06-29
148,1.0,0.5043259859085083,2022-06-28
149,0.0,0.5314731001853943,2022-06-27
150,0.0,0.47511932253837585,2022-06-24
151,1.0,0.5262235999107361,2022-06-23
152,1.0,0.5311843752861023,2022-06-22
153,1.0,0.5295677185058594,2022-06-21
154,1.0,0.48432254791259766,2022-06-17
155,1.0,0.5867428183555603,2022-06-16
156,1.0,0.5291977524757385,2022-06-15
157,1.0,0.5394707322120667,2022-06-14
158,1.0,0.5649839043617249,2022-06-13
159,0.0,0.5018770098686218,2022-06-10
160,0.0,0.46975958347320557,2022-06-09
161,0.0,0.5488951802253723,2022-06-08
162,0.0,0.49499377608299255,2022-06-07
163,0.0,0.49120381474494934,2022-06-06
164,0.0,0.4708774983882904,2022-06-03
165,0.0,0.42991769313812256,2022-06-02
166,1.0,0.5277018547058105,2022-06-01
167,1.0,0.5110319256782532,2022-05-31
168,0.0,0.46941882371902466,2022-05-27
169,1.0,0.509330153465271,2022-05-26
170,1.0,0.4697399139404297,2022-05-25
171,1.0,0.4888356924057007,2022-05-24
172,1.0,0.5432453155517578,2022-05-23
173,1.0,0.4459434449672699,2022-05-20
174,1.0,0.5124719142913818,2022-05-19
175,1.0,0.5552288293838501,2022-05-18
176,0.0,0.45253798365592957,2022-05-17
177,0.0,0.515055239200592,2022-05-16
178,0.0,0.4189258813858032,2022-05-13
179,0.0,0.5101468563079834,2022-05-12
180,0.0,0.5090038776397705,2022-05-11
181,1.0,0.5560608506202698,2022-05-10
182,0.0,0.5413249731063843,2022-05-09
183,0.0,0.5068749785423279,2022-05-06
184,0.0,0.49242398142814636,2022-05-05
185,0.0,0.48471081256866455,2022-05-04
186,0.0,0.49946925044059753,2022-05-03
187,0.0,0.46722978353500366,2022-05-02
188,0.0,0.5248139500617981,2022-04-29
189,0.0,0.5295573472976685,2022-04-28
190,1.0,0.5201038718223572,2022-04-27
191,0.0,0.43735820055007935,2022-04-26
192,0.0,0.44136127829551697,2022-04-25
193,0.0,0.484229177236557,2022-04-22
194,0.0,0.5166215300559998,2022-04-21
195,0.0,0.4625166058540344,2022-04-20
196,0.0,0.5276946425437927,2022-04-19
197,0.0,0.5050000548362732,2022-04-18
198,0.0,0.4677833914756775,2022-04-14
199,1.0,0.4795200526714325,2022-04-13
200,1.0,0.5400699377059937,2022-04-12
201,1.0,0.49949130415916443,2022-04-11
202,0.0,0.4544091820716858,2022-04-08
203,0.0,0.4621131122112274,2022-04-07
204,1.0,0.4570504128932953,2022-04-06
205,0.0,0.47548073530197144,2022-04-05
206,0.0,0.44359347224235535,2022-04-04
207,0.0,0.47817322611808777,2022-04-01
208,0.0,0.47803303599357605,2022-03-31
209,0.0,0.4745081663131714,2022-03-30
210,0.0,0.46555405855178833,2022-03-29
211,0.0,0.48778924345970154,2022-03-28
212,0.0,0.49050405621528625,2022-03-25
213,0.0,0.5382751226425171,2022-03-24
214,1.0,0.5495580434799194,2022-03-23
215,1.0,0.5640029311180115,2022-03-22
216,1.0,0.4993661344051361,2022-03-21
217,1.0,0.49419382214546204,2022-03-18
218,1.0,0.5584359169006348,2022-03-17
219,1.0,0.5500565767288208,2022-03-16
220,1.0,0.5463132858276367,2022-03-15
221,1.0,0.5708784461021423,2022-03-14
222,1.0,0.564487636089325,2022-03-11
223,1.0,0.5937321186065674,2022-03-10
224,1.0,0.5871539115905762,2022-03-09
225,1.0,0.6121604442596436,2022-03-08
226,1.0,0.5836685299873352,2022-03-07
227,0.0,0.47538384795188904,2022-03-04
228,0.0,0.48227471113204956,2022-03-03
229,0.0,0.4228639304637909,2022-03-02
230,0.0,0.3585875630378723,2022-03-01
231,0.0,0.47526150941848755,2022-02-28
232,0.0,0.4419821798801422,2022-02-25
233,1.0,0.6113458871841431,2022-02-24
234,1.0,0.46451255679130554,2022-02-23
235,0.0,0.384861558675766,2022-02-22
236,0.0,0.5843985080718994,2022-02-18
237,0.0,0.4747828245162964,2022-02-17
238,0.0,0.34066078066825867,2022-02-16
239,0.0,0.2883971929550171,2022-02-15
240,0.0,0.3645162880420685,2022-02-14
241,0.0,0.45237478613853455,2022-02-11
242,0.0,0.5217668414115906,2022-02-10
243,0.0,0.4565420150756836,2022-02-09
244,0.0,0.5103755593299866,2022-02-08
245,0.0,0.5003381371498108,2022-02-07
246,0.0,0.4596114754676819,2022-02-04
247,1.0,0.5166242122650146,2022-02-03
248,1.0,0.48891106247901917,2022-02-02
249,1.0,0.4660135805606842,2022-02-01
250,0.0,0.4840814173221588,2022-01-31
251,1.0,0.4678392708301544,2022-01-28
252,1.0,0.5050407648086548,2022-01-27
253,1.0,0.5248045921325684,2022-01-26
254,1.0,0.5094622373580933,2022-01-25
255,1.0,0.5172117948532104,2022-01-24
256,1.0,0.5352269411087036,2022-01-21
257,0.0,0.5172791481018066,2022-01-20
258,0.0,0.5074059367179871,2022-01-19
259,0.0,0.5437933206558228,2022-01-18
260,0.0,0.5234456062316895,2022-01-14
261,0.0,0.5044894814491272,2022-01-13
262,0.0,0.4644213020801544,2022-01-12
263,0.0,0.44756773114204407,2022-01-11
264,0.0,0.46457481384277344,2022-01-10
265,0.0,0.44470447301864624,2022-01-07
266,0.0,0.47392258048057556,2022-01-06
267,0.0,0.45921212434768677,2022-01-05
268,0.0,0.5252712965011597,2022-01-04
269,0.0,0.5081081390380859,2022-01-03
270,1.0,0.5428149104118347,2022-07-18
271,1.0,0.5345163941383362,2022-07-15
272,1.0,0.5193739533424377,2022-07-14
273,1.0,0.486544668674469,2022-07-13
274,1.0,0.5343937277793884,2022-07-12
275,0.0,0.4926331341266632,2022-07-11
276,0.0,0.5308074355125427,2022-07-08
277,0.0,0.4967447519302368,2022-07-07
278,0.0,0.53013014793396,2022-07-06
279,0.0,0.5389647483825684,2022-07-05
280,1.0,0.557585597038269,2022-07-01
281,1.0,0.5334150791168213,2022-06-30
282,1.0,0.5203115344047546,2022-06-29
283,1.0,0.5043259859085083,2022-06-28
284,0.0,0.5314731001853943,2022-06-27
285,0.0,0.47511932253837585,2022-06-24
286,0.0,0.5262235999107361,2022-06-23
287,1.0,0.5311843752861023,2022-06-22
288,1.0,0.5295677185058594,2022-06-21
289,1.0,0.48432254791259766,2022-06-17
290,1.0,0.5867428183555603,2022-06-16
291,1.0,0.5291977524757385,2022-06-15
292,1.0,0.5394707322120667,2022-06-14
293,1.0,0.5649839043617249,2022-06-13
294,0.0,0.5018770098686218,2022-06-10
295,0.0,0.46975958347320557,2022-06-09
296,0.0,0.5488951802253723,2022-06-08
297,0.0,0.49499377608299255,2022-06-07
298,0.0,0.49120381474494934,2022-06-06
299,0.0,0.4708774983882904,2022-06-03
300,0.0,0.42991769313812256,2022-06-02
301,1.0,0.5277018547058105,2022-06-01
302,1.0,0.5110319256782532,2022-05-31
303,0.0,0.46941882371902466,2022-05-27
304,1.0,0.509330153465271,2022-05-26
305,1.0,0.4697399139404297,2022-05-25
306,1.0,0.4888356924057007,2022-05-24
307,1.0,0.5432453155517578,2022-05-23
308,1.0,0.4459434449672699,2022-05-20
309,1.0,0.5124719142913818,2022-05-19
310,1.0,0.5552288293838501,2022-05-18
311,0.0,0.45253798365592957,2022-05-17
312,0.0,0.515055239200592,2022-05-16
313,0.0,0.4189258813858032,2022-05-13
314,1.0,0.5101468563079834,2022-05-12
315,1.0,0.5090038776397705,2022-05-11
316,1.0,0.5560608506202698,2022-05-10
317,1.0,0.5413249731063843,2022-05-09
318,0.0,0.5068749785423279,2022-05-06
319,0.0,0.49242398142814636,2022-05-05
320,0.0,0.48471081256866455,2022-05-04
321,0.0,0.49946925044059753,2022-05-03
322,0.0,0.46722978353500366,2022-05-02
323,0.0,0.5248139500617981,2022-04-29
324,0.0,0.5295573472976685,2022-04-28
325,1.0,0.5201038718223572,2022-04-27
326,1.0,0.43735820055007935,2022-04-26
327,0.0,0.44136127829551697,2022-04-25
328,0.0,0.484229177236557,2022-04-22
329,0.0,0.5166215300559998,2022-04-21
330,0.0,0.4625166058540344,2022-04-20
331,0.0,0.5276946425437927,2022-04-19
332,0.0,0.5050000548362732,2022-04-18
333,0.0,0.4677833914756775,2022-04-14
334,0.0,0.4795200526714325,2022-04-13
335,1.0,0.5400699377059937,2022-04-12
336,1.0,0.49949130415916443,2022-04-11
337,0.0,0.4544091820716858,2022-04-08
338,0.0,0.4621131122112274,2022-04-07
339,0.0,0.4570504128932953,2022-04-06
340,0.0,0.47548073530197144,2022-04-05
341,0.0,0.44359347224235535,2022-04-04
342,0.0,0.47817322611808777,2022-04-01
343,0.0,0.47803303599357605,2022-03-31
344,0.0,0.4745081663131714,2022-03-30
345,0.0,0.46555405855178833,2022-03-29
346,1.0,0.48778924345970154,2022-03-28
347,1.0,0.49050405621528625,2022-03-25
348,1.0,0.5382751226425171,2022-03-24
349,1.0,0.5495580434799194,2022-03-23
350,1.0,0.5640029311180115,2022-03-22
351,1.0,0.4993661344051361,2022-03-21
352,1.0,0.49419382214546204,2022-03-18
353,1.0,0.5584359169006348,2022-03-17
354,1.0,0.5500565767288208,2022-03-16
355,1.0,0.5463132858276367,2022-03-15
356,1.0,0.5708784461021423,2022-03-14
357,1.0,0.564487636089325,2022-03-11
358,1.0,0.5937321186065674,2022-03-10
359,1.0,0.5871539115905762,2022-03-09
360,1.0,0.6121604442596436,2022-03-08
361,0.0,0.5836685299873352,2022-03-07
362,0.0,0.47538384795188904,2022-03-04
363,0.0,0.48227471113204956,2022-03-03
364,0.0,0.4228639304637909,2022-03-02
365,0.0,0.3585875630378723,2022-03-01
366,0.0,0.47526150941848755,2022-02-28
367,0.0,0.4419821798801422,2022-02-25
368,1.0,0.6113458871841431,2022-02-24
369,1.0,0.46451255679130554,2022-02-23
370,1.0,0.384861558675766,2022-02-22
371,1.0,0.5843985080718994,2022-02-18
372,0.0,0.4747828245162964,2022-02-17
373,0.0,0.34066078066825867,2022-02-16
374,0.0,0.2883971929550171,2022-02-15
375,0.0,0.3645162880420685,2022-02-14
376,0.0,0.45237478613853455,2022-02-11
377,0.0,0.5217668414115906,2022-02-10
378,0.0,0.4565420150756836,2022-02-09
379,0.0,0.5103755593299866,2022-02-08
380,0.0,0.5003381371498108,2022-02-07
381,0.0,0.4596114754676819,2022-02-04
382,1.0,0.5166242122650146,2022-02-03
383,1.0,0.48891106247901917,2022-02-02
384,0.0,0.466013640165329,2022-02-01
385,0.0,0.4840814173221588,2022-01-31
386,1.0,0.4678392708301544,2022-01-28
387,1.0,0.5050407648086548,2022-01-27
388,1.0,0.5248045921325684,2022-01-26
389,1.0,0.5094622373580933,2022-01-25
390,1.0,0.5172117948532104,2022-01-24
391,1.0,0.5352269411087036,2022-01-21
392,0.0,0.5172792077064514,2022-01-20
393,0.0,0.5074059367179871,2022-01-19
394,0.0,0.5437933206558228,2022-01-18
395,0.0,0.5234456062316895,2022-01-14
396,0.0,0.5044894814491272,2022-01-13
397,0.0,0.4644213020801544,2022-01-12
398,0.0,0.44756773114204407,2022-01-11
399,0.0,0.4645748436450958,2022-01-10
400,0.0,0.44470441341400146,2022-01-07
401,0.0,0.47392264008522034,2022-01-06
402,1.0,0.45921212434768677,2022-01-05
403,0.0,0.5252712965011597,2022-01-04
404,0.0,0.5081081390380859,2022-01-03
